timestamp,user_id,event_type,game_name,bet_amount,win_amount,device,country
2025-06-04 00:36:48,04-99/94,bet_placed,roulette,136,0,desktop,LT
2025-06-03 22:10:51,91-04/25,game_end,blackjack,0,0,desktop,LT
2025-06-04 02:51:46,89-02/84,bet_placed,slots,38,0,tablet,EE
2025-06-03 21:06:20,05-11/80,bet_placed,roulette,62,0,tablet,EE
2025-06-04 03:58:50,44-07/08,bet_placed,slots,189,0,desktop,LV
2025-06-04 02:30:33,75-50/06,game_start,roulette,0,0,tablet,SE
2025-06-03 08:05:13,95-16/04,bet_result,baccarat,0,0,mobile,FI
2025-06-03 21:19:45,03-09/29,bet_result,roulette,0,0,tablet,LV
2025-06-03 12:59:19,05-55/33,game_start,poker,0,0,desktop,LT
2025-06-03 09:13:23,71-62/09,bet_result,roulette,0,0,desktop,LT
2025-06-03 07:02:10,13-22/38,bet_placed,baccarat,77,0,desktop,LV
2025-06-03 13:49:56,43-85/78,bet_result,blackjack,0,0,tablet,LT
2025-06-03 21:39:31,15-74/92,game_end,baccarat,0,0,desktop,LV
2025-06-03 05:14:36,79-92/99,bet_placed,slots,141,0,desktop,FI
2025-06-03 22:30:07,90-13/37,game_start,baccarat,0,0,tablet,EE
2025-06-03 10:21:22,26-71/58,bet_result,blackjack,0,0,desktop,LT
2025-06-04 03:14:12,04-74/76,game_end,blackjack,0,0,mobile,LT
2025-06-03 15:10:35,43-88/37,game_start,slots,0,0,tablet,LV
2025-06-03 08:01:53,66-35/86,bet_result,roulette,0,0,mobile,EE
2025-06-03 06:24:54,94-24/00,game_start,slots,0,0,tablet,LV
2025-06-03 07:06:13,55-83/89,bet_placed,roulette,15,0,mobile,EE
2025-06-03 14:05:30,10-07/80,bet_placed,baccarat,193,0,tablet,LT
2025-06-03 19:08:34,29-35/63,bet_placed,slots,93,0,mobile,LT
2025-06-03 16:49:43,45-17/79,bet_placed,baccarat,41,0,mobile,LT
2025-06-03 20:15:38,78-55/84,bet_result,slots,0,0,desktop,LT
2025-06-03 06:54:45,78-70/83,bet_placed,poker,133,0,tablet,EE
2025-06-03 05:57:53,97-92/42,game_end,baccarat,0,0,tablet,SE
2025-06-03 21:39:30,05-97/43,game_start,slots,0,0,mobile,LT
2025-06-03 09:16:37,34-40/81,bet_result,slots,0,0,tablet,EE
2025-06-03 14:10:03,76-05/09,game_end,baccarat,0,0,tablet,LV
2025-06-03 23:41:08,60-88/89,bet_result,poker,0,0,mobile,EE
2025-06-04 03:30:39,45-59/43,bet_placed,baccarat,127,0,tablet,EE
2025-06-03 18:08:53,31-10/68,bet_result,baccarat,0,0,mobile,SE
2025-06-03 15:25:03,92-97/19,bet_placed,blackjack,134,0,tablet,SE
2025-06-03 21:24:20,03-03/05,bet_placed,baccarat,14,0,tablet,LT
2025-06-03 12:35:15,15-83/09,bet_placed,poker,142,0,mobile,SE
2025-06-03 11:24:45,59-45/99,game_start,poker,0,0,tablet,SE
2025-06-04 00:40:35,42-14/74,bet_placed,baccarat,103,0,tablet,SE
